시설번호	시설유형코드	시도명	시군구명	시군구코드	소재지도로명주소	소재지지번주소	위도	경도	상세위치	안전센터명	보호틀유무	설치연도	출수압력	관할기관명	관할기관전화번호	데이터기준일자
은평-녹번-104059	2	서울특별시	은평구	11380	서울특별시 은평구 응암로20길 30-10	서울특별시 은평구 응암동 403-2	37.59200951	126.9208747		녹번119안전센터	N	2001	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104060	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 442	서울특별시 은평구 응암동 579-25	37.59373687	126.9152607		녹번119안전센터	N	2003	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104061	1	서울특별시	은평구	11380	서울특별시 은평구 응암로 209	서울특별시 은평구 응암동 577-43	37.59076647	126.9170152		녹번119안전센터	N	2004	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104062	2	서울특별시	은평구	11380	"서울특별시 은평구 응암로21가길 8 광장호프,소주"	"서울특별시 은평구 응암동 125-1 광장호프,소주"	37.594479	126.917078	"광장호프,소주"	녹번119안전센터	N	2004	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104035	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 420	서울특별시 은평구 응암동 583-34	37.592644	126.914906		녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104036	1	서울특별시	은평구	11380	서울특별시 은평구 가좌로 248-1	서울특별시 은평구 응암동 584-47	37.59167198	126.9155207		녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104037	2	서울특별시	은평구	11380	서울특별시 은평구 은평로18길 9-1 골빈pc방	서울특별시 은평구 응암동 58-17 골빈pc방	37.600267	126.931208	골빈pc방	녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104038	2	서울특별시	은평구	11380	서울특별시 은평구 응암로14길 17	서울특별시 은평구 응암동 335-31	37.59004092	126.9192522		녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104039	2	서울특별시	은평구	11380	서울특별시 은평구 응암로21가길 9-9	서울특별시 은평구 응암동 126-4	37.594713	126.9165286		녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104040	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 470-2 다세대주택	서울특별시 은평구 응암동 126-20 다세대주택	37.594848	126.915573		녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104041	2	서울특별시	은평구	11380	서울특별시 은평구 가좌로10길 29 힐링북카페	서울특별시 은평구 응암동 579-7 힐링북카페	37.593366	126.916916	힐링북카페	녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104042	2	서울특별시	은평구	11380	서울특별시 은평구 가좌로10길 14 똘똘이마트	서울특별시 은평구 응암동 578-57 똘똘이마트	37.591923	126.916621	똘똘이마트	녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104043	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 67 백련산파크자이(대로변 인도앞)	서울특별시 은평구 응암동 626-53 백련산파크자이(대로변 인도앞)	37.592926	126.9228	백련산파크자이 대로변 인도 앞	녹번119안전센터	N	2019	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104044	1	서울특별시	은평구	11380	서울특별시 은평구 가좌로 238	서울특별시 은평구 응암동 584-14	37.59106949	126.916201		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104045	2	서울특별시	은평구	11380	서울특별시 은평구 가좌로7나길 4 토탈인테리어앞	서울특별시 은평구 응암동 732-21 토탈인테리어앞	37.585696	126.919086	토탈인테리어	녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104046	1	서울특별시	은평구	11380	서울특별시 은평구 가좌로 180 은평에스피학원	서울특별시 은평구 응암동 674-1 은평에스피학원	37.587176	126.920945	은평에스피학원	녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104047	2	서울특별시	은평구	11380	서울특별시 은평구 응암로34가길 20	서울특별시 은평구 응암동 102-1	37.59945	126.9232987		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104048	2	서울특별시	은평구	11380	서울특별시 은평구 가좌로 202-41	서울특별시 은평구 응암동 338-84	37.58871548	126.9203361		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-현장-209048	2	서울특별시	은평구	11380	서울특별시 은평구 불광로18가길 10 일반가	서울특별시 은평구 불광동 182-1 일반가	37.622766	126.932548		현장대응단	N	1994	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104019	2	서울특별시	은평구	11380	서울특별시 은평구 응암로14길 9 신한드림빌	서울특별시 은평구 응암동 354-15 신한드림빌	37.590195	126.91846	신한드림빌	녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104020	2	서울특별시	은평구	11380	서울특별시 은평구 가좌로 204 동양빌딩	서울특별시 은평구 응암동 338-78 동양빌딩	37.588714	126.919045	동양빌딩	녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104021	2	서울특별시	은평구	11380	서울특별시 은평구 가좌로6길 12 미복슈퍼	서울특별시 은평구 응암동 244-221 미복슈퍼	37.587515	126.921541	미복슈퍼	녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104022	2	서울특별시	은평구	11380	서울특별시 은평구 은평로16길 9-9	서울특별시 은평구 응암동 73-12	37.600312	126.930372		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104023	2	서울특별시	은평구	11380	서울특별시 은평구 응암로20길 13 더클레스 앞	서울특별시 은평구 응암동 397-37 더클레스 앞	37.592707	126.919375	더클레스	녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104024	2	서울특별시	은평구	11380	서울특별시 은평구 응암로16길 7	서울특별시 은평구 응암동 365-43	37.59171999	126.918444		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104025	2	서울특별시	은평구	11380	서울특별시 은평구 은평로11길 12	서울특별시 은평구 녹번동 156-42	37.6019257	126.923454		녹번119안전센터	N	1994	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104027	1	서울특별시	은평구	11380	서울특별시 은평구 응암로 221 상일리베가구	서울특별시 은평구 응암동 577-1 상일리베가구	37.591635	126.917462	상일리베가구	녹번119안전센터	N	1994	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104028	1	서울특별시	은평구	11380	서울특별시 은평구 응암로 220 헬스수영복	서울특별시 은평구 응암동 576-32 헬스수영복	37.591447	126.917638	헬스수영복	녹번119안전센터	N	1994	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104029	1	서울특별시	은평구	11380	서울특별시 은평구 응암로 240 디지털프라자	서울특별시 은평구 응암동 576-10 디지털프라자	37.593123	126.918025	디지털프라자	녹번119안전센터	N	1994	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104030	2	서울특별시	은평구	11380	서울특별시 은평구 응암로16길 17-1	서울특별시 은평구 응암동 362-8	37.59157063	126.919531		녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104031	2	서울특별시	은평구	11380	서울특별시 은평구 응암로22길 28-10 주택가	서울특별시 은평구 응암동 405-3 주택가	37.592967	126.921185		녹번119안전센터	N	2019	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104032	1	서울특별시	은평구	11380	서울특별시 은평구 가좌로 192 호돌이체육관	서울특별시 은평구 응암동 287-22 호돌이체육관	37.587934	126.919996	호돌이체육관	녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104033	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 450	서울특별시 은평구 응암동 579-32	37.59409445	126.9153519		녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104034	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 442-15	서울특별시 은평구 응암동 581-15	37.593415	126.915911		녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104002	2	서울특별시	은평구	11380	서울특별시 은평구 응암로 255	서울특별시 은평구 응암동 124-1	37.594781	126.9178222		녹번119안전센터	N	1987	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104003	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로 39	서울특별시 은평구 응암동 620-3	37.589013	126.922579		녹번119안전센터	N	1988	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104005	2	서울특별시	은평구	11380	서울특별시 은평구 응암로16가길 12-6 미모헤어숍	서울특별시 은평구 응암동 349-18 미모헤어숍	37.590308	126.920442	미모헤어숍	녹번119안전센터	N	2019	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104006	1	서울특별시	은평구	11380	서울특별시 은평구 응암로 235 서울정형외과의원	서울특별시 은평구 응암동 578-16 서울정형외과의원	37.592743	126.917709	서울정형외과의원	녹번119안전센터	N	1988	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104008	2	서울특별시	은평구	11380	서울특별시 은평구 가좌로 166 충암자동차공업사	서울특별시 은평구 응암동 675-19 충암자동차공업사	37.586225	126.922164	충암자동차공업사	녹번119안전센터	N	1988	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104009	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 410-26	서울특별시 은평구 응암동 584-56	37.591949	126.9160757		녹번119안전센터	N	1988	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104010	2	서울특별시	은평구	11380	서울특별시 은평구 응암로20길 29 미잉미용실 앞	서울특별시 은평구 응암동 240-35 미잉미용실 앞	37.592535	126.921225	미잉미용실	녹번119안전센터	N	2019	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104011	2	서울특별시	은평구	11380	서울특별시 은평구 응암로34나길 13	서울특별시 은평구 응암동 102-18	37.59887781	126.923535		녹번119안전센터	N	1989	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104012	2	서울특별시	은평구	11380	서울특별시 은평구 가좌로 222 응암애견백화점	서울특별시 은평구 응암동 576-53 응암애견백화점	37.589762	126.917628	응암애견백화점	녹번119안전센터	N	1990	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104013	2	서울특별시	은평구	11380	서울특별시 은평구 응암로20길 19-1	서울특별시 은평구 응암동 402-54	37.59274871	126.9202411		녹번119안전센터	N	1991	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104014	2	서울특별시	은평구	11380	서울특별시 은평구 가좌로10길 17-7	서울특별시 은평구 응암동 583-49	37.592428	126.9163366		녹번119안전센터	N	1991	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104015	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 442-13	서울특별시 은평구 응암동 579-16	37.59369871	126.9158274		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104016	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 410-9	서울특별시 은평구 응암동 583-28	37.59228834	126.915299		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104017	2	서울특별시	은평구	11380	서울특별시 은평구 응암로18길 18-4 엘지빌라	서울특별시 은평구 응암동 397-275 엘지빌라	37.592163	126.91987	엘지빌라	녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104018	2	서울특별시	은평구	11380	서울특별시 은평구 응암로16길 20-28 주택가	서울특별시 은평구 응암동 351-7 주택가	37.590744	126.919229		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103072	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 38	서울특별시 은평구 응암동 760	37.58927061	126.923058		녹번119안전센터	N	2001	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103074	2	서울특별시	은평구	11380	서울특별시 은평구 서오릉로 30-12	서울특별시 은평구 녹번동 82-32	37.60353731	126.9261278		녹번119안전센터	N	2002	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103075	2	서울특별시	은평구	11380	서울특별시 은평구 서오릉로 30-20	서울특별시 은평구 녹번동 82-4	37.603415	126.926578		녹번119안전센터	N	2002	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103076	1	서울특별시	은평구	11380	서울특별시 은평구 응암로34길 23-1	서울특별시 은평구 응암동 196-9	37.597531	126.923527		녹번119안전센터	N	2003	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103077	2	서울특별시	은평구	11380	서울특별시 은평구 응암로16가길 2	서울특별시 은평구 응암동 348-7	37.59121899	126.9207454		녹번119안전센터	N	2003	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103078	2	서울특별시	은평구	11380	서울특별시 은평구 은평로16가길 19-1	서울특별시 은평구 응암동 39-22	37.598299	126.930985		녹번119안전센터	N	2003	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103079	1	서울특별시	은평구	11380	서울특별시 은평구 녹번로 27	서울특별시 은평구 녹번동 100-36	37.60474279	126.9280951		녹번119안전센터	N	2004	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103080	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 103	서울특별시 은평구 응암동 221-24	37.59481	126.922797		녹번119안전센터	N	2004	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103081	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 128 신의쉐르빌	서울특별시 은평구 응암동 197-41 신의쉐르빌	37.596654	126.923969	신의쉐르빌	녹번119안전센터	N	2004	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103082	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 87 가로수빌딩	서울특별시 은평구 응암동 236-28 가로수빌딩	37.59341	126.922992	가로수빌딩	녹번119안전센터	N	2004	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103083	2	서울특별시	은평구	11380	서울특별시 은평구 응암로 190-11	서울특별시 은평구 응암동 601-8	37.58884772	126.9176669		녹번119안전센터	N	2006	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103084	2	서울특별시	은평구	11380	서울특별시 은평구 응암로34길 21-19	서울특별시 은평구 응암동 101-41	37.59820165	126.9238613		녹번119안전센터	N	2006	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103085	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로4길 25	서울특별시 은평구 응암동 227-24	37.59477449	126.925743		녹번119안전센터	N	2011	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103086	1	서울특별시	은평구	11380	서울특별시 은평구 응암로22길 3-1	서울특별시 은평구 응암동 427-130	37.5939075	126.9186943		녹번119안전센터	N	2022	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-104001	2	서울특별시	은평구	11380	서울특별시 은평구 응암로21길 12 보은사철탕	서울특별시 은평구 응암동 125-12 보은사철탕	37.594059	126.916371	보은사철탕	녹번119안전센터	N	1987	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103057	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 36-	서울특별시 은평구 응암동 761	37.58845665	126.9247675		녹번119안전센터	N	1998	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103058	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 36	서울특별시 은평구 응암동 761	37.588417	126.9247675		녹번119안전센터	N	2002	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103059	1	서울특별시	은평구	11380	서울특별시 은평구 은평로 85	서울특별시 은평구 응암동 91-8	37.599667	126.9173612		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103060	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 38	서울특별시 은평구 응암동 760	37.58927061	126.9230906		녹번119안전센터	N	2002	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103061	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 38	서울특별시 은평구 응암동 760	37.58927061	126.9230906		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103062	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로7길 5-4	서울특별시 은평구 응암동 221-3	37.595839	126.922673		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103063	2	서울특별시	은평구	11380	서울특별시 은평구 응암로30길 22	서울특별시 은평구 응암동 452-34	37.595641	126.921427		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103064	1	서울특별시	은평구	11380	서울특별시 은평구 은평로 93	서울특별시 은평구 응암동 91-5	37.59978536	126.9181268		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103065	1	서울특별시	은평구	11380	서울특별시 은평구 응암로 294	서울특별시 은평구 응암동 104-42	37.59767955	126.9206222		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103066	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 38	서울특별시 은평구 응암동 760	37.58927061	126.9230906		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103067	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로 108	서울특별시 은평구 응암동 225-162	37.595112	126.923031		녹번119안전센터	N	2002	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103068	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 38	서울특별시 은평구 응암동 760	37.58927061	126.9230906		녹번119안전센터	N	1998	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103069	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로4길 17-10	서울특별시 은평구 응암동 227-52	37.595348	126.9252243		녹번119안전센터	N	1998	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103070	1	서울특별시	은평구	11380	서울특별시 은평구 백련산로 38	서울특별시 은평구 응암동 760	37.58927061	126.923024		녹번119안전센터	N	2001	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103071	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로4길 23-16	서울특별시 은평구 응암동 227-3	37.59553383	126.926015		녹번119안전센터	N	2001	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103042	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로 116	서울특별시 은평구 응암동 225-73	37.595638	126.923366		녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103043	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로4길 11-14	서울특별시 은평구 응암동 227-88	37.59533561	126.924446		녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103044	1	서울특별시	은평구	11380	서울특별시 은평구 통일로 587 H에비뉴호텔 우측상가	서울특별시 은평구 응암동 30-1 H에비뉴호텔 우측상가	37.59916	126.936651	H에비뉴호텔	녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103045	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 442-30 거성리젠시	서울특별시 은평구 응암동 580-7 거성리젠시	37.592773	126.915359	거성리젠시	녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103046	2	서울특별시	은평구	11380	서울특별시 은평구 응암로 254 밝은문아트(주상복합)	서울특별시 은평구 응암동 427-113 밝은문아트(주상복합)	37.59461	126.918595	밝은문아트주상복합	녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103047	2	서울특별시	은평구	11380	서울특별시 은평구 응암로22길 19 오성부동산앞	서울특별시 은평구 응암동 419-111 오성부동산앞	37.593519	126.920257	오성부동산	녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103048	1	서울특별시	은평구	11380	서울특별시 은평구 응암로22길 27-1 귀금속프라자	서울특별시 은평구 응암동 239-15 귀금속프라자	37.593372	126.921266	귀금속프라자	녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103049	2	서울특별시	은평구	11380	서울특별시 은평구 응암로29길 14-7 동명홈타운 B동	서울특별시 은평구 응암동 118-29 동명홈타운 B동	37.596893	126.917779	동명홈타운 B동	녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103050	2	서울특별시	은평구	11380	서울특별시 은평구 응암로29길 18-4	서울특별시 은평구 응암동 118-36	37.59700462	126.9174727		녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103051	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 526	서울특별시 은평구 응암동 113-21	37.59732215	126.9162179		녹번119안전센터	N	2002	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103052	2	서울특별시	은평구	11380	서울특별시 은평구 불광천길 528	서울특별시 은평구 응암동 113-23	37.59753147	126.9163691		녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103053	2	서울특별시	은평구	11380	서울특별시 은평구 응암로18길 6-1	서울특별시 은평구 응암동 397-264	37.59224155	126.9185328		녹번119안전센터	N	1996	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103054	2	서울특별시	은평구	11380	서울특별시 은평구 은평로13길 7-10	서울특별시 은평구 응암동 85-10	37.60192313	126.9250358		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103055	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로4길 11-30	서울특별시 은평구 응암동 227-17	37.595965	126.924739		녹번119안전센터	N	2002	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103056	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로 10	서울특별시 은평구 응암동 761-2	37.58652022	126.9230603		녹번119안전센터	N	1997	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103027	2	서울특별시	은평구	11380	서울특별시 은평구 응암로30길 15-7	서울특별시 은평구 응암동 452-10	37.59608	126.921203		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103028	2	서울특별시	은평구	11380	서울특별시 은평구 응암로29길 4-1	서울특별시 은평구 응암동 117-40	37.59632006	126.9186563		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103029	2	서울특별시	은평구	11380	서울특별시 은평구 은평로8길 44-3	서울특별시 은평구 응암동 118-7	37.59680259	126.918318		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103030	2	서울특별시	은평구	11380	서울특별시 은평구 응암로29길 20-6 응암동 다세대주택	서울특별시 은평구 응암동 118-72 응암동 다세대주택	37.597112	126.917041		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103031	2	서울특별시	은평구	11380	서울특별시 은평구 응암로29길 17-1 팔팔하오빌	서울특별시 은평구 응암동 121-7 팔팔하오빌	37.596474	126.917117	팔팔하오빌	녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103032	2	서울특별시	은평구	11380	서울특별시 은평구 응암로29길 19-9	서울특별시 은평구 응암동 121-50	37.59623405	126.9169012		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103033	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로 121	서울특별시 은평구 응암동 224	37.596437	126.9234954		녹번119안전센터	N	1993	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103034	2	서울특별시	은평구	11380	서울특별시 은평구 응암로30길 5-18 은성아트빌	서울특별시 은평구 응암동 106-9 은성아트빌	37.596717	126.920603	은성아트빌	녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103035	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로6길 9-1	서울특별시 은평구 응암동 225-1	37.594763	126.924085		녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103036	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로4길 13-12 녹스빌2동	서울특별시 은평구 응암동 227-71 녹스빌2동	37.59535	126.924757	녹스빌2동	녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103037	2	서울특별시	은평구	11380	서울특별시 은평구 백련산로4길 21	서울특별시 은평구 응암동 227-39	37.59482454	126.9253953		녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
은평-녹번-103038	1	서울특별시	은평구	11380	서울특별시 은평구 응암로 264 서울빌딩	서울특별시 은평구 응암동 427-38 서울빌딩	37.595122	126.918614	서울빌딩	녹번119안전센터	N	1995	5	은평소방서	02-6981-6044	2025-04-08
